Size,Merge sort,Quick sort,Heap sort
2250,522.389000000000010,690.097999999999956,976.686000000000035
2300,601.200000000000045,700.167000000000030,641.318999999999960
2350,565.565000000000055,1006.115000000000123,813.479000000000042
2400,561.468000000000075,599.478999999999928,817.984000000000037
2450,524.086999999999989,655.895000000000095,1122.524000000000115
2500,639.149000000000001,561.444000000000074,910.456999999999994
2550,456.062000000000012,588.413000000000125,789.836000000000013
2600,568.628000000000043,547.225999999999999,699.416000000000054
2650,386.681000000000040,574.552000000000021,505.033000000000015
2700,563.975000000000136,555.036000000000058,615.287000000000035
2750,511.836000000000013,651.977000000000089,595.735999999999990
2800,479.527000000000044,627.842000000000098,815.552000000000135
2850,463.900000000000034,613.172000000000025,575.954000000000065
2900,453.368000000000052,604.278000000000134,843.561000000000035
2950,534.165000000000077,603.045000000000073,692.347000000000094
3000,466.156000000000006,584.341000000000008,889.196000000000140
3050,714.789000000000101,615.934000000000083,942.990000000000123
3100,630.101999999999975,530.026000000000067,703.958000000000084
3150,428.011000000000024,554.975999999999999,610.090000000000146
3200,400.936000000000035,605.096000000000117,600.017000000000053
3250,885.067000000000007,740.367000000000075,973.663000000000011
3300,533.129000000000019,695.599000000000046,816.773000000000025
3350,527.160000000000082,716.473000000000070,888.969000000000051
3400,569.313999999999965,743.154999999999973,1080.266000000000076
3450,580.930000000000064,671.947999999999979,881.288000000000011
3500,526.826999999999998,731.778000000000134,965.893000000000143
3550,541.361999999999966,664.566000000000031,606.088000000000079
3600,560.227000000000089,674.542000000000144,650.918999999999983
3650,1061.966000000000122,622.528000000000020,769.251000000000090
3700,712.240000000000009,721.618000000000052,1036.583000000000084
3750,762.644000000000005,761.879999999999995,662.636000000000081
3800,708.785000000000082,722.592999999999961,1113.398000000000138
3850,738.492000000000075,767.283999999999992,1044.893000000000029
3900,615.881999999999948,835.046000000000049,1117.262000000000171
3950,652.846999999999980,902.627000000000066,989.363000000000056
4000,1848.552000000000135,739.124000000000024,697.312000000000012
4050,688.919000000000096,680.402000000000044,740.830000000000041
4100,721.969000000000051,1122.894000000000233,876.543000000000006
4150,1071.445000000000164,702.678999999999974,819.926000000000045
4200,984.695000000000050,723.921000000000049,1843.477000000000089
4250,542.766999999999939,702.853000000000065,1816.024000000000115
4300,1436.894000000000233,736.073000000000093,795.458000000000084
4350,885.681000000000040,748.202999999999975,1094.733999999999924
4400,1091.214000000000169,800.440000000000055,924.742000000000075
4450,863.432000000000016,1282.597999999999956,1972.769000000000005
4500,1941.581000000000131,1392.396000000000186,817.245000000000118
4550,1670.219000000000051,805.616999999999962,996.536000000000172
4600,740.136000000000081,1050.612000000000080,1081.591000000000122
4650,1571.112000000000080,839.811000000000149,1873.242000000000189
4700,874.135000000000105,833.273000000000025,940.785000000000082
4750,1613.341000000000122,912.975000000000023,1042.324000000000069
4800,1375.204999999999927,858.605000000000018,1175.264000000000124
4850,1191.675000000000182,1078.336000000000013,1157.299999999999955
4900,975.398000000000025,833.280000000000086,1372.409000000000106
4950,1250.876000000000204,1300.328999999999951,2691.654000000000451
5000,1503.017000000000053,1031.688000000000102,1276.784000000000106
5050,914.667000000000030,930.774999999999977,1037.223999999999933
5100,1164.026000000000067,988.061000000000149,1516.872000000000071
5150,1009.984000000000037,1210.797000000000025,2345.666000000000167
5200,903.208000000000084,909.604000000000042,1017.597999999999956
5250,1510.788999999999987,1265.019000000000005,1186.595000000000027
5300,2480.190000000000055,1472.012000000000171,1090.764000000000124
5350,1054.991000000000213,2822.816000000000258,1946.850000000000136
5400,838.144000000000119,2073.309000000000196,1237.604000000000042
5450,1042.576000000000249,1183.673999999999978,1087.748000000000047
5500,971.706000000000017,1380.512000000000171,1109.227000000000089
5550,960.699000000000069,1227.158000000000129,1114.225000000000136
5600,909.021000000000072,1025.271000000000186,1160.764000000000124
5650,901.527000000000044,1085.592000000000098,1051.543999999999869
5700,808.956999999999994,955.320000000000050,1376.844000000000051
5750,1231.433999999999969,1280.445999999999913,1531.019000000000005
5800,1021.804000000000087,1268.519000000000005,1410.712000000000216
5850,984.422000000000025,1182.016000000000076,1355.505000000000109
5900,1019.826000000000136,1155.039999999999964,1302.072000000000116
5950,894.938000000000102,1057.084000000000060,1958.748000000000275
6000,1146.148000000000138,1037.711999999999989,1517.891000000000076
6050,943.745000000000118,1212.812000000000126,1282.539999999999964
6100,1003.376000000000090,1309.323000000000093,1228.306000000000040
6150,1101.530000000000200,1096.211000000000240,1278.373000000000275
6200,1336.938000000000102,2286.920000000000073,1500.256000000000085
6250,1199.667000000000144,1271.527000000000271,1270.797000000000253
6300,1171.114000000000033,1600.355999999999995,1323.174000000000206
